"Fiyat","Oda Sayısı","Bulunduğu Kat","Brüt Metrekare","Binanın Yaşı","Binanın Kat Sayısı","Sehir","Ilce"
"10500000","4","5","193","0 (Yeni)","20","İstanbul","Eyüpsultan"
"6000000","3","2","147","0 (Yeni)","20","İstanbul","Eyüpsultan"
"6000000","3","2","147","0 (Yeni)","20","İstanbul","Eyüpsultan"
"3200000","5","3","160","5-10","3","İstanbul","Eyüpsultan"
"4265000","5","3","160","0 (Yeni)","3","İstanbul","Eyüpsultan"
"4850000","3","3","90","11-15","4","İstanbul","Eyüpsultan"
"2980000","4","-1","130","11-15","5","İstanbul","Eyüpsultan"
"3500000","7","3","180","0 (Yeni)","3","İstanbul","Eyüpsultan"
"4800000","6","3","170","5-10","3","İstanbul","Eyüpsultan"
"4250000","6","2","170","5-10","3","İstanbul","Eyüpsultan"
"2800000","2","3","60","5-10","13","İstanbul","Eyüpsultan"
"7000000","6","4","165","0 (Yeni)","4","İstanbul","Eyüpsultan"
"3150000","3","1","90","11-15","7","İstanbul","Eyüpsultan"
"4500000","4","9","130","2","9","İstanbul","Eyüpsultan"
"2250000","3","2","90","21 Ve Üzeri","4","İstanbul","Eyüpsultan"
"4850000","3","3","110","11-15","5","İstanbul","Eyüpsultan"
"8500000","3","3","150","0 (Yeni)","4","İstanbul","Eyüpsultan"
"4000000","6","4","240","11-15","4","İstanbul","Eyüpsultan"
"6750000","4","3","145","16-20","5","İstanbul","Eyüpsultan"
"11000000","4","3","198","0 (Yeni)","3","İstanbul","Eyüpsultan"
"2750000","3","1","110","21 Ve Üzeri","4","İstanbul","Eyüpsultan"
"4250000","4","5","140","11-15","5","İstanbul","Eyüpsultan"
"3500000","5","5","160","4","5","İstanbul","Eyüpsultan"
"3450000","4","1","125","5-10","5","İstanbul","Eyüpsultan"
"3200000","5","4","140","21 Ve Üzeri","5","İstanbul","Fatih"
"17000000","6","4","220","16-20","4","İstanbul","Fatih"
"1820000","3","-1","70","21 Ve Üzeri","4","İstanbul","Fatih"
"2220000","3","3","100","21 Ve Üzeri","5","İstanbul","Fatih"
"1900000","3","5","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2600000","3","5","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","3","1","78","21 Ve Üzeri","3","İstanbul","Fatih"
"2500000","3","2","78","21 Ve Üzeri","2","İstanbul","Fatih"
"1665000","3","3","77","21 Ve Üzeri","4","İstanbul","Fatih"
"985000","2","-1","55","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","4","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","3","1","70","21 Ve Üzeri","4","İstanbul","Fatih"
"2600000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"3300000","3","2","100","21 Ve Üzeri","4","İstanbul","Fatih"
"3100000","5","4","120","21 Ve Üzeri","5","İstanbul","Fatih"
"1720000","3","2","95","21 Ve Üzeri","5","İstanbul","Fatih"
"1927000","3","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"1465000","2","1","62","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","5","1","145","16-20","5","İstanbul","Fatih"
"2500000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"6250000","4","4","130","21 Ve Üzeri","5","İstanbul","Fatih"
"2650000","3","5","95","21 Ve Üzeri","5","İstanbul","Fatih"
"2100000","2","1","78","21 Ve Üzeri","4","İstanbul","Fatih"
"2950000","3","2","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2050000","3","1","80","21 Ve Üzeri","4","İstanbul","Fatih"
"1550000","2","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","2","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"6000000","4","2","115","11-15","5","İstanbul","Fatih"
"4000000","4","1","140","21 Ve Üzeri","5","İstanbul","Fatih"
"1500000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1350000","3","1","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2750000","3","3","90","21 Ve Üzeri","5","İstanbul","Fatih"
"1575000","2","1","65","21 Ve Üzeri","5","İstanbul","Fatih"
"1800000","3","1","70","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","2","0","70","0 (Yeni)","4","İstanbul","Fatih"
"1600000","3","3","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2575000","4","4","130","21 Ve Üzeri","4","İstanbul","Fatih"
"1450000","2","1","65","21 Ve Üzeri","5","İstanbul","Fatih"
"1450000","2","1","65","21 Ve Üzeri","5","İstanbul","Fatih"
"1025000","2","1","50","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","3","1","95","21 Ve Üzeri","5","İstanbul","Fatih"
"950000","2","-1","60","21 Ve Üzeri","4","İstanbul","Fatih"
"2750000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"1500000","3","1","75","21 Ve Üzeri","3","İstanbul","Fatih"
"3000000","4","1","84","21 Ve Üzeri","4","İstanbul","Fatih"
"2700000","3","2","95","21 Ve Üzeri","3","İstanbul","Fatih"
"1850000","2","1","65","21 Ve Üzeri","5","İstanbul","Fatih"
"1695000","2","4","70","21 Ve Üzeri","4","İstanbul","Fatih"
"2000000","3","1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"1800000","3","3","90","21 Ve Üzeri","3","İstanbul","Fatih"
"2950000","3","1","90","21 Ve Üzeri","3","İstanbul","Fatih"
"2100000","3","2","80","21 Ve Üzeri","3","İstanbul","Fatih"
"5950000","3","3","95","1","4","İstanbul","Fatih"
"5500000","4","1","115","11-15","5","İstanbul","Fatih"
"4000000","4","2","130","21 Ve Üzeri","4","İstanbul","Fatih"
"4750000","4","3","140","21 Ve Üzeri","6","İstanbul","Fatih"
"4100000","4","1","160","16-20","5","İstanbul","Fatih"
"1150000","3","-1","60","21 Ve Üzeri","5","İstanbul","Fatih"
"3600000","2","1","85","5-10","4","İstanbul","Fatih"
"4100000","3","-4","105","21 Ve Üzeri","5","İstanbul","Fatih"
"4500000","4","3","140","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2400000","3","2","100","21 Ve Üzeri","5","İstanbul","Fatih"
"4450000","3","0","80","1","4","İstanbul","Fatih"
"1750000","3","1","140","21 Ve Üzeri","6","İstanbul","Fatih"
"6250000","4","4","150","21 Ve Üzeri","5","İstanbul","Fatih"
"2390000","3","2","92","21 Ve Üzeri","4","İstanbul","Fatih"
"5000000","4","3","110","21 Ve Üzeri","4","İstanbul","Fatih"
"3900000","3","1","110","21 Ve Üzeri","5","İstanbul","Fatih"
"2075000","5","3","96","21 Ve Üzeri","4","İstanbul","Fatih"
"1850000","2","5","70","21 Ve Üzeri","5","İstanbul","Fatih"
"5500000","5","2","210","21 Ve Üzeri","4","İstanbul","Fatih"
"3300000","3","1","105","21 Ve Üzeri","4","İstanbul","Fatih"
"2600000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"5400000","4","1","150","21 Ve Üzeri","5","İstanbul","Fatih"
"2150000","3","3","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2410000","2","4","75","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","4","1","95","21 Ve Üzeri","4","İstanbul","Fatih"
"4750000","4","3","150","21 Ve Üzeri","3","İstanbul","Fatih"
"2850000","3","4","90","21 Ve Üzeri","5","İstanbul","Fatih"
"1300000","2","0","80","21 Ve Üzeri","5","İstanbul","Fatih"
"1700000","3","5","75","21 Ve Üzeri","5","İstanbul","Fatih"
"1650000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"3600000","4","3","110","21 Ve Üzeri","3","İstanbul","Fatih"
"2000000","4","-1","135","16-20","5","İstanbul","Fatih"
"2850000","4","4","125","21 Ve Üzeri","4","İstanbul","Fatih"
"12000000","4","2","163","21 Ve Üzeri","6","İstanbul","Fatih"
"1700000","2","5","70","21 Ve Üzeri","5","İstanbul","Fatih"
"2300000","3","3","95","21 Ve Üzeri","3","İstanbul","Fatih"
"1800000","3","4","70","21 Ve Üzeri","4","İstanbul","Fatih"
"2200000","3","1","85","21 Ve Üzeri","3","İstanbul","Fatih"
"2000000","3","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"3500000","4","1","130","21 Ve Üzeri","3","İstanbul","Fatih"
"3350000","4","1","120","21 Ve Üzeri","4","İstanbul","Fatih"
"1450000","2","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","2","80","21 Ve Üzeri","4","İstanbul","Fatih"
"1325000","3","4","53","21 Ve Üzeri","4","İstanbul","Fatih"
"2400000","3","3","75","21 Ve Üzeri","3","İstanbul","Fatih"
"1100000","2","1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"3500000","3","5","125","21 Ve Üzeri","5","İstanbul","Fatih"
"990000","3","-1","60","21 Ve Üzeri","3","İstanbul","Fatih"
"2600000","3","4","95","11-15","5","İstanbul","Fatih"
"3200000","4","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"8500000","4","1","135","21 Ve Üzeri","4","İstanbul","Fatih"
"1700000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2800000","3","-4","75","21 Ve Üzeri","4","İstanbul","Fatih"
"3500000","4","2","115","21 Ve Üzeri","4","İstanbul","Fatih"
"2100000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"4950000","3","0","80","0 (Yeni)","4","İstanbul","Fatih"
"2000000","2","2","80","21 Ve Üzeri","4","İstanbul","Fatih"
"3950000","3","2","95","21 Ve Üzeri","4","İstanbul","Fatih"
"4800000","4","5","135","21 Ve Üzeri","5","İstanbul","Fatih"
"2575000","3","3","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2600000","3","1","82","21 Ve Üzeri","5","İstanbul","Fatih"
"1700000","3","1","110","21 Ve Üzeri","5","İstanbul","Fatih"
"1950000","3","0","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"1500000","2","1","100","21 Ve Üzeri","3","İstanbul","Fatih"
"1300000","4","1","110","21 Ve Üzeri","5","İstanbul","Fatih"
"3000000","4","5","110","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","3","4","134","21 Ve Üzeri","6","İstanbul","Fatih"
"2700000","3","4","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","3","3","95","21 Ve Üzeri","4","İstanbul","Fatih"
"3650000","3","1","96","11-15","5","İstanbul","Fatih"
"3370000","3","3","110","21 Ve Üzeri","4","İstanbul","Fatih"
"2250000","3","3","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2550000","3","4","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2950000","3","1","97","21 Ve Üzeri","4","İstanbul","Fatih"
"1600000","3","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"1600000","3","1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"1450000","2","1","65","21 Ve Üzeri","3","İstanbul","Fatih"
"2850000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1650000","3","4","65","21 Ve Üzeri","4","İstanbul","Fatih"
"2000000","3","0","85","21 Ve Üzeri","4","İstanbul","Fatih"
"1350000","3","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2400000","3","3","75","21 Ve Üzeri","3","İstanbul","Fatih"
"1950000","3","4","70","21 Ve Üzeri","4","İstanbul","Fatih"
"1300000","3","1","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2400000","3","3","75","21 Ve Üzeri","3","İstanbul","Fatih"
"1950000","3","4","70","21 Ve Üzeri","4","İstanbul","Fatih"
"1300000","3","1","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2550000","3","1","65","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","1","65","21 Ve Üzeri","4","İstanbul","Fatih"
"4300000","4","-1","110","21 Ve Üzeri","4","İstanbul","Fatih"
"7900000","7","5","305","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","3","3","90","11-15","5","İstanbul","Fatih"
"5200000","4","4","145","21 Ve Üzeri","5","İstanbul","Fatih"
"1800000","3","4","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2175000","3","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","2","1","60","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","3","68","21 Ve Üzeri","3","İstanbul","Fatih"
"2800000","3","1","85","11-15","7","İstanbul","Fatih"
"2000000","4","1","100","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","2","3","65","21 Ve Üzeri","3","İstanbul","Fatih"
"1950000","4","1","95","21 Ve Üzeri","3","İstanbul","Fatih"
"3250000","5","3","145","21 Ve Üzeri","4","İstanbul","Fatih"
"6350000","5","3","250","11-15","3","İstanbul","Fatih"
"5150000","3","1","81","5-10","5","İstanbul","Fatih"
"1550000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1600000","2","2","55","21 Ve Üzeri","4","İstanbul","Fatih"
"3350000","4","4","121","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","3","100","21 Ve Üzeri","5","İstanbul","Fatih"
"3300000","6","4","150","21 Ve Üzeri","4","İstanbul","Fatih"
"2600000","3","3","90","16-20","5","İstanbul","Fatih"
"1650000","2","2","55","21 Ve Üzeri","5","İstanbul","Fatih"
"1300000","2","1","55","21 Ve Üzeri","6","İstanbul","Fatih"
"3450000","5","3","120","21 Ve Üzeri","3","İstanbul","Fatih"
"6000000","4","4","110","0 (Yeni)","4","İstanbul","Fatih"
"1850000","3","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"4200000","4","1","90","3","3","İstanbul","Fatih"
"3000000","3","2","107","21 Ve Üzeri","3","İstanbul","Fatih"
"3600000","3","1","105","21 Ve Üzeri","5","İstanbul","Fatih"
"3650000","4","1","90","3","3","İstanbul","Fatih"
"3750000","4","4","110","21 Ve Üzeri","4","İstanbul","Fatih"
"8000000","3","1","107","5-10","5","İstanbul","Fatih"
"2350000","3","1","95","21 Ve Üzeri","5","İstanbul","Fatih"
"3750000","3","2","75","0 (Yeni)","5","İstanbul","Fatih"
"4500000","4","3","130","21 Ve Üzeri","4","İstanbul","Fatih"
"1390000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"2800000","3","3","130","21 Ve Üzeri","3","İstanbul","Fatih"
"1400000","2","3","62","4","4","İstanbul","Fatih"
"2600000","4","2","100","21 Ve Üzeri","5","İstanbul","Fatih"
"1775000","3","2","95","21 Ve Üzeri","2","İstanbul","Fatih"
"1700000","2","3","70","16-20","3","İstanbul","Fatih"
"16500000","10","5","300","21 Ve Üzeri","5","İstanbul","Fatih"
"3175000","3","3","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1300000","2","4","80","21 Ve Üzeri","4","İstanbul","Fatih"
"1300000","2","4","65","21 Ve Üzeri","4","İstanbul","Fatih"
"1300000","2","4","65","21 Ve Üzeri","4","İstanbul","Fatih"
"3800000","4","2","110","21 Ve Üzeri","5","İstanbul","Fatih"
"1650000","3","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2600000","3","3","85","21 Ve Üzeri","3","İstanbul","Fatih"
"1480000","2","1","65","21 Ve Üzeri","2","İstanbul","Fatih"
"2350000","3","4","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2250000","3","2","85","21 Ve Üzeri","5","İstanbul","Fatih"
"3400000","3","1","100","21 Ve Üzeri","5","İstanbul","Fatih"
"1450000","2","1","65","21 Ve Üzeri","3","İstanbul","Fatih"
"1200000","2","0","60","21 Ve Üzeri","4","İstanbul","Fatih"
"2600000","2","1","70","21 Ve Üzeri","6","İstanbul","Fatih"
"1260000","2","1","62","21 Ve Üzeri","4","İstanbul","Fatih"
"2800000","3","5","95","21 Ve Üzeri","5","İstanbul","Fatih"
"1100000","2","-1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"6500000","6","5","180","0 (Yeni)","5","İstanbul","Fatih"
"3650000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2800000","4","4","130","21 Ve Üzeri","4","İstanbul","Fatih"
"2100000","3","4","75","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","2","1","60","16-20","3","İstanbul","Fatih"
"4200000","7","3","205","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","3","91","21 Ve Üzeri","4","İstanbul","Fatih"
"1350000","3","-1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","3","4","80","21 Ve Üzeri","4","İstanbul","Fatih"
"1475000","3","2","90","21 Ve Üzeri","4","İstanbul","Fatih"
"8000000","6","4","255","16-20","5","İstanbul","Fatih"
"2250000","2","2","40","21 Ve Üzeri","4","İstanbul","Fatih"
"3750000","3","1","90","0 (Yeni)","4","İstanbul","Fatih"
"2100000","4","1","120","16-20","3","İstanbul","Fatih"
"3250000","3","1","85","11-15","4","İstanbul","Fatih"
"1400000","2","1","65","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","3","4","100","21 Ve Üzeri","4","İstanbul","Fatih"
"4330000","4","1","130","5-10","5","İstanbul","Fatih"
"2000000","3","3","95","21 Ve Üzeri","3","İstanbul","Fatih"
"1600000","3","2","80","21 Ve Üzeri","4","İstanbul","Fatih"
"4000000","3","4","110","21 Ve Üzeri","4","İstanbul","Fatih"
"6500000","3","2","110","0 (Yeni)","4","İstanbul","Fatih"
"3650000","3","4","100","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","3","3","85","16-20","5","İstanbul","Fatih"
"2500000","4","3","160","21 Ve Üzeri","3","İstanbul","Fatih"
"2700000","4","0","120","21 Ve Üzeri","5","İstanbul","Fatih"
"2700000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"8500000","4","3","130","21 Ve Üzeri","5","İstanbul","Fatih"
"1900000","2","0","85","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","3","1","75","21 Ve Üzeri","3","İstanbul","Fatih"
"4500000","4","4","100","21 Ve Üzeri","5","İstanbul","Fatih"
"4250000","4","3","110","21 Ve Üzeri","5","İstanbul","Fatih"
"3000000","3","1","80","4","4","İstanbul","Fatih"
"2225000","3","3","115","21 Ve Üzeri","5","İstanbul","Fatih"
"2600000","3","2","85","21 Ve Üzeri","3","İstanbul","Fatih"
"1800000","3","3","75","21 Ve Üzeri","5","İstanbul","Fatih"
"8800000","4","3","163","21 Ve Üzeri","6","İstanbul","Fatih"
"6000000","4","1","150","21 Ve Üzeri","5","İstanbul","Fatih"
"2970000","3","3","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2150000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2950000","3","3","100","21 Ve Üzeri","6","İstanbul","Fatih"
"3250000","3","2","100","21 Ve Üzeri","3","İstanbul","Fatih"
"5750000","4","4","160","21 Ve Üzeri","4","İstanbul","Fatih"
"5530000","5","5","200","21 Ve Üzeri","6","İstanbul","Fatih"
"5995000","4","3","130","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","2","2","70","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","3","3","80","21 Ve Üzeri","5","İstanbul","Fatih"
"5460000","4","1","160","21 Ve Üzeri","5","İstanbul","Fatih"
"4450000","4","1","130","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","4","3","120","21 Ve Üzeri","5","İstanbul","Fatih"
"5460000","4","1","160","21 Ve Üzeri","5","İstanbul","Fatih"
"4450000","4","1","130","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","4","3","120","21 Ve Üzeri","5","İstanbul","Fatih"
"3050000","4","4","140","21 Ve Üzeri","4","İstanbul","Fatih"
"3000000","3","1","80","16-20","5","İstanbul","Fatih"
"2950000","3","1","90","21 Ve Üzeri","5","İstanbul","Fatih"
"2850000","3","0","120","21 Ve Üzeri","5","İstanbul","Fatih"
"2350000","3","3","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2300000","3","4","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2300000","3","4","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2250000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2050000","4","0","93","21 Ve Üzeri","5","İstanbul","Fatih"
"1550000","2","1","66","21 Ve Üzeri","5","İstanbul","Fatih"
"4650000","4","5","150","21 Ve Üzeri","5","İstanbul","Fatih"
"3550000","4","5","200","21 Ve Üzeri","5","İstanbul","Fatih"
"3800000","4","4","145","21 Ve Üzeri","6","İstanbul","Fatih"
"2750000","3","3","65","21 Ve Üzeri","4","İstanbul","Fatih"
"8500000","4","3","165","11-15","5","İstanbul","Fatih"
"2000000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2950000","4","1","120","21 Ve Üzeri","4","İstanbul","Fatih"
"2900000","3","4","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2000000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"3300000","4","3","130","21 Ve Üzeri","3","İstanbul","Fatih"
"3300000","4","3","130","21 Ve Üzeri","3","İstanbul","Fatih"
"2300000","3","-1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2900000","3","4","78","21 Ve Üzeri","5","İstanbul","Fatih"
"5650000","6","3","290","21 Ve Üzeri","3","İstanbul","Fatih"
"2300000","3","-2","90","21 Ve Üzeri","4","İstanbul","Fatih"
"2650000","3","-1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"4100000","4","1","110","21 Ve Üzeri","3","İstanbul","Fatih"
"1850000","4","-1","140","21 Ve Üzeri","5","İstanbul","Fatih"
"1550000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"3500000","3","3","85","21 Ve Üzeri","5","İstanbul","Fatih"
"3500000","3","4","134","21 Ve Üzeri","6","İstanbul","Fatih"
"2900000","3","1","93","21 Ve Üzeri","4","İstanbul","Fatih"
"5200000","5","-1","180","21 Ve Üzeri","5","İstanbul","Fatih"
"1500000","3","-1","80","21 Ve Üzeri","4","İstanbul","Fatih"
"9500000","4","4","150","21 Ve Üzeri","6","İstanbul","Fatih"
"1550000","2","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2200000","3","3","80","21 Ve Üzeri","4","İstanbul","Fatih"
"2400000","3","4","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2600000","3","3","85","21 Ve Üzeri","3","İstanbul","Fatih"
"2650000","4","1","125","21 Ve Üzeri","5","İstanbul","Fatih"
"3000000","3","1","90","21 Ve Üzeri","3","İstanbul","Fatih"
"3100000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"3600000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1900000","2","2","65","21 Ve Üzeri","5","İstanbul","Fatih"
"3000000","4","3","400","21 Ve Üzeri","3","İstanbul","Fatih"
"3500000","4","1","120","21 Ve Üzeri","4","İstanbul","Fatih"
"2500000","3","4","85","21 Ve Üzeri","5","İstanbul","Fatih"
"4200000","3","1","85","11-15","3","İstanbul","Fatih"
"1480000","2","1","50","21 Ve Üzeri","5","İstanbul","Fatih"
"2400000","3","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"4750000","4","5","85","21 Ve Üzeri","6","İstanbul","Fatih"
"1750000","3","2","85","21 Ve Üzeri","5","İstanbul","Fatih"
"3300000","3","3","90","21 Ve Üzeri","4","İstanbul","Fatih"
"2250000","3","2","78","21 Ve Üzeri","5","İstanbul","Fatih"
"5000000","4","5","175","21 Ve Üzeri","5","İstanbul","Fatih"
"2550000","3","3","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2850000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","2","1","80","21 Ve Üzeri","5","İstanbul","Fatih"
"1600000","3","0","65","21 Ve Üzeri","4","İstanbul","Fatih"
"1780000","2","1","65","16-20","4","İstanbul","Fatih"
"1000000","2","1","75","21 Ve Üzeri","4","İstanbul","Fatih"
"1350000","3","1","85","21 Ve Üzeri","4","İstanbul","Fatih"
"1900000","2","1","55","21 Ve Üzeri","4","İstanbul","Fatih"
"1750000","3","2","70","21 Ve Üzeri","3","İstanbul","Fatih"
"2200000","3","3","85","21 Ve Üzeri","5","İstanbul","Fatih"
"2700000","2","1","134","21 Ve Üzeri","1","İstanbul","Fatih"
"3635000","4","1","130","21 Ve Üzeri","4","İstanbul","Fatih"
"2450000","3","1","90","16-20","5","İstanbul","Fatih"
"9750000","3","4","120","21 Ve Üzeri","25","İstanbul","Fatih"
"1690000","3","2","70","21 Ve Üzeri","4","İstanbul","Fatih"
"1600000","3","1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"3300000","4","3","120","3","3","İstanbul","Fatih"
"2750000","2","2","75","21 Ve Üzeri","4","İstanbul","Fatih"
"2680000","3","1","90","21 Ve Üzeri","4","İstanbul","Fatih"
"1995000","2","1","70","21 Ve Üzeri","5","İstanbul","Fatih"
"4500000","4","3","130","21 Ve Üzeri","5","İstanbul","Fatih"
"1495000","2","0","65","21 Ve Üzeri","3","İstanbul","Fatih"
"2500000","3","3","85","21 Ve Üzeri","4","İstanbul","Fatih"
"2800000","3","5","110","21 Ve Üzeri","5","İstanbul","Fatih"
"3000000","6","1","110","21 Ve Üzeri","5","İstanbul","Fatih"
"2990000","3","3","80","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","2","2","75","21 Ve Üzeri","5","İstanbul","Fatih"
"4200000","3","2","110","21 Ve Üzeri","5","İstanbul","Fatih"
"2750000","3","2","93","21 Ve Üzeri","4","İstanbul","Fatih"
"3600000","4","5","120","21 Ve Üzeri","5","İstanbul","Fatih"
"9700000","3","0","110","5-10","3","İstanbul","Fatih"
"2500000","3","-1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"3700000","4","1","135","21 Ve Üzeri","6","İstanbul","Fatih"
"1550000","5","1","150","21 Ve Üzeri","4","İstanbul","Fatih"
"1850000","3","1","85","21 Ve Üzeri","5","İstanbul","Fatih"
"1650000","4","3","105","21 Ve Üzeri","3","İstanbul","Fatih"
"4000000","5","4","120","21 Ve Üzeri","4","İstanbul","Fatih"
"4199900","3","2","105","0 (Yeni)","2","İstanbul","Fatih"
"17000000","6","4","230","5-10","4","İstanbul","Fatih"
"2100000","2","0","55","21 Ve Üzeri","4","İstanbul","Fatih"
"2300000","3","3","85","21 Ve Üzeri","4","İstanbul","Fatih"
"3700000","3","1","95","11-15","5","İstanbul","Fatih"
"1150000","1","1","70","21 Ve Üzeri","4","İstanbul","Fatih"
"8500000","4","3","130","21 Ve Üzeri","5","İstanbul","Fatih"
"1300000","2","-1","60","21 Ve Üzeri","4","İstanbul","Fatih"
"1950000","4","3","110","21 Ve Üzeri","3","İstanbul","Fatih"
"2000000","4","3","110","21 Ve Üzeri","3","İstanbul","Fatih"
"2250000","3","1","100","21 Ve Üzeri","5","İstanbul","Fatih"
"1500000","3","-1","75","21 Ve Üzeri","5","İstanbul","Fatih"
"2600000","3","2","85","21 Ve Üzeri","3","İstanbul","Fatih"
"3550000","3","1","120","21 Ve Üzeri","3","İstanbul","Fatih"
"3000000","3","4","80","21 Ve Üzeri","5","İstanbul","Fatih"
"2500000","3","0","108","21 Ve Üzeri","5","İstanbul","Fatih"
"2950000","4","2","120","21 Ve Üzeri","4","İstanbul","Fatih"
"3500000","3","2","100","21 Ve Üzeri","3","İstanbul","Fatih"
"3550000","4","2","110","21 Ve Üzeri","3","İstanbul","Fatih"
"1980000","3","4","70","21 Ve Üzeri","4","İstanbul","Fatih"
"4000000","3","3","86","21 Ve Üzeri","5","İstanbul","Fatih"
"3050000","3","3","85","21 Ve Üzeri","4","İstanbul","Fatih"
